char|kMandarin|kDefinition|kSimplifiedVariant|kTraditionalVariant|kSemanticVariant|kSpecializedSemanticVariant|kFrequency|kRSKangXi|kTotalStrokes|kFourCornerCode|kCangjie|kCangjieCh|kHanYu|kKangXi|kPhonetic|radical|hsk|rth|rthkeyword|rsh|rshkeyword
代|dai4|replace, replacement (of person or generation); era, generation|||||2||5|2324.0|OIP|人戈心|10113.050|0093.110|1370 1558|9|5|769|substitute for|828|substitute for
令|ling4|command, order; 'commandant', magistrate; allow, cause|||||3||5|8030.7|OINI|人戈弓戈|10111.100|0093.120|565 812|9|5|1050|orders|1115|orders
以|yi3|by means of; thereby, therefore; consider as; in order to|||㠯||1||4|2810.0|VIO|女戈人|10105.070|0094.010|1549 1551|9|2|796|by means of|861|by means of
仦|chao4||||||||5||XXXOF|難難難人火|10114.010|0094.051||9|||||
仧|chang2||||||||5||YMO|卜一人|10111.040|0094.051||9|||||
仨|sa1|(coll.) three (cannot be followed by a measure word)|||||||5|2121.1|OMMM|人一一一|10112.010|0094.051|1100|9|||||
仩|chang2||||||||5|2121.0|OYM|人卜一|10113.051|0094.051||9|||||
仪|yi2|ceremony, rites gifts; admire||儀|||4||5|2420|OIK|人戈大|10114.080|0094.051||9|6|||2550|rite
仫|mu4|tribe|||||||5|2223|OHI|人竹戈|10114.100|0094.051|1595|9|||||
们|men5|adjunct pronoun indicate plural||們|||1||5|2722|OLS|人中尸|10115.040|0094.051||9|1|||1263|(plural)
仭|ren4|ancient unit of measure (8 feet); 'fathom'|||||||5|2722.0 2725.0|XXOSK|難難人尸大|10115.071|0094.051|1492|9|||||
仮|fan3|falsehood, deception; vacation|||||||6|2124.7|OHE|人竹水|10124.050|0094.060||9|||||
仯|chao4||||||||6||OFH|人火竹|10121.060|0094.070||9|||||
仰|yang3|raise the head to look; look up to, rely on, admire|||||4||6|2722.0|OHVL|人竹女中|10125.030|0094.080|974|9|6|1255|look up to|1301|look up to
仱|qian2||||||||6|2822.7|OOIN|人人戈弓|10124.110|0094.090||9|||||
仲|zhong4|middle brother; go between, mediator; surname|||||4||6|2520.6|OL|人中|10121.070|0094.110|322|9||1994|mid-|2058|mid-
仳|pi3|separate, part company||||丕|||6|2121.0|OPP|人心心|10121.010|0094.120|1030|9|||||
仴|wo4||||||||6|2722.0|OB|人月|10124.150|0094.160||9|||||
仵|wu3|similar|||||||6|2824.0|OOJ|人人十|10122.020|0094.170|950|9|||||
件|jian4|numerary adjunct for article; matter|||||2||6|2520.0|OHQ|人竹手|10122.030|0094.180|1489|9|2|750|piece|808|piece
价|jia4|price, value||價|||||6|2822.0|OOLL|人人中中|10124.070|0094.200|535 541|9|4|||795|price
仸|yao3|bent, distorted, crooked; feeble|||||||6||OHK|人竹大|10123.020|0094.210||9|||||
仹|feng1||||||||6||OQJ|人手十|10122.040|0094.220||9|||||
仺|cang1||||||||5||OSM|人尸一|10116.050|0094.230||9|||||
任|ren4|trust to, rely on, appoint; to bear, duty, office; allow|||仼||2||6|2221.4|OHG|人竹土|10122.060|0094.240|1476|9|4|793|appoint|853|appoint
仼|wang2||||任||||6||XOMG|難人一土|10117.120|0094.250||9|||||
份|fen4|portion, part; duty||||分|2||6|2822.7|OCSH|人金尸竹|10124.120|0094.260|353|9|4|738|portion|796|portion
仾|di1|to hang or bow the head, to droop, to lower; low, beneath|||低||||6||XOMVM|難人一女一|10121.020|0095.010||9|||||
仿|fang3|imitate, copy; as if|||倣||5||6|2022.7|OYHS|人卜竹尸|10125.060|0095.020|373|9|5|2020|mimic|2086|mimic
伀|zhong1|excited|||彸||||6|2823.2|OCI|人金戈|10124.130|0095.030||9|||||
企|qi3|plan a project; stand on tiptoe|||||4||6|8010.1|OYLM|人卜中一|10116.060|0095.040|135|9|5|358|look forward to|384|look forward to
伂|pei4||||||||6|2522.7|OJB|人十月|10119.010|0095.070||9|||||
伃|yu2|handsome|||妤||||6||ONIN|人弓戈弓|10128.010|0095.080|1603|9|||||
伄|diao4||||||||6|2722.7|ONL|人弓中|10127.010|0095.090||9|||||
伅|dun4||||||||6|2521.7|OPU|人心山|10120.070|0095.100||9|||||
伆|wu4||||||||6||OPHH|人心竹竹|10125.010|0095.110||9|||||
伇|yi4||||||||6||OHNE|人竹弓水|10125.040|0095.120||9|||||
伈|xin3|nervous, fearful|||||||6|2320.0|OP|人心|10126.080|0095.130|1118|9|||||
伉|kang4|compare, match; pair; spouse|||||||6|2021.7|OYHN|人卜竹弓|10126.010|0095.140|660|9|||||
伊|yi1|third person pronoun; he, she, this, that|||||4||6|2725.7|OSK|人尸大|10126.090|0095.150|1443 1532|9||883|Queen Elizabeth|958|Queen Elizabeth
伋|ji2|deceptive|||||||5|2724.7|ONHE|人弓竹水|10125.050|0095.180|581|9|||||
伌|ai4||||||||6||OMSU|人一尸山|10120.040|0095.190||9|||||
伍|wu3|five, company of five; troops||||五|4||6|2121.7|OMDM|人一木一|10118.010|0095.200|949|9|6|1990|V|2054|V
伎|ji4|talent, skill, ability|||||||6|2424.7|OJE|人十水|10119.020|0095.210|130|9|||||
伏|fu2|crouch, crawl, lie hidden, conceal|||||5||6|2323.4|OIK|人戈大|10119.040|0095.230|399|9|6|2009|bend over|2075|bend over
伐|fa2|cut down, subjugate, attack|||||5||6|2325.0|OI|人戈|10120.080|0096.010|360|9|6|2012|fell|2079|fell
休|xiu1|rest, stop; retire; do not!|||||4||6|2429.0|OD|人木|10117.180|0096.020|1505|9|2|753|rest|812|rest
伒|jin4||||||||6|2222.1|OHML|人竹一中|10124.040|0096.060||9|||||
伓|pi1||||||||6|2129.0|OMF|人一火|10119.030|0096.080||9|||||
伔|dan3||||||||6|2721.0|OBHU|人月竹山|10126.070|0096.100||9|||||
伕|fu1|common laborer|||||||6|2523.0|OQO|人手人|10117.140|0096.121|380|9|||||
伖|tang3||||||||6||OKE|人大水|10120.030|0096.121||9|||||
众|zhong4|multitude, crowd; masses, public||眾|||3||6|8088|OOO|人人人|10117.070|0096.121||9|4|||847|multitude
优|you1|superior, excellent; actor||優|||||6|2321.4|OIKU|人戈大山|10120.020|0096.121||9|4|||821|excellent
伙|huo3|companion, colleague; utensils|||||4||6|2928.0|OF|人火|10126.030|0096.121|370|9|4|2007|mate|2072|mate
会|hui4|assemble, meet together; meeting||會|會||1||6|8073.1|OMMI|人一一戈|10116.030|0096.121|1466|9|1|||677|meeting
伛|yu3|humpback; stoop||傴|||||6|2121|XOSK|難人尸大|10120.010|0096.121||9|||||
伜|cui4|deputy, vice-|||||||6|2424.1|OKNJ|人大弓十|10124.170|0096.121||9|||||
伝|yun2|summon; propagate, transmit|||||||6|2123.1|OMMI|人一一戈|10117.160|0096.121||9|||||
伞|san3|umbrella, parasol, parachute||傘|||5||6|8040|OFJ|人火十|10117.100|0096.121|1106|9|3|||1598|umbrella
伟|wei3|great, robust; extraordinary||偉|||3||6|2522|OQS|人手尸|10117.150|0096.121||9|5|||1231|great
传|chuan2|summon; propagate, transmit||傳|||2||6||OQNI|人手弓戈|10117.170|0096.121||9|4|||1239|spread
伡|che1|||俥|||||6||OKQ|人大手|10120.041|0096.121||9|||||
伢|ya2|child|||||||6|2724.0|OMVH|人一女竹|10120.060|0096.121||9|||||
伣|xian4|like||俔|||||6||XOBHU|難人月竹山|10122.011|0096.121||9|||||
伤|shang1|wound, injury; fall ill from||傷|||3||6|2822|OOKS|人人大尸|10124.010|0096.121||9|4|||822|wound
伥|chang1|ghost of one devoured by tiger||倀|||||6|2223|OPO|人心人|10124.020|0096.121||9|||||
伦|lun2|normal human relationships||倫|||4||6|2821|OOP|人人心|10124.100|0096.121||9|6|||2083|human relationships
伧|cang1|vulgar person, country man||傖|||||6|2821|OOSU|人人尸山|10124.140|0096.121||9|||||
伨|xun4||||||||6||OPIM|人心戈一|10124.160|0096.121||9|||||
伪|wei3|false, counterfeit, bogus||偽僞|||5||6|2422|OIKS|人戈大尸|10126.040|0096.121||9|6|||797|bogus
伫|zhu4|look towards; turn one's back on||佇|||5||6|2321|OJM|人十一|10126.050|0096.121||9|||||
伬|ze5||||||||6|2623.7|OSO|人尸人|10126.091|0096.121||9|||||
伭|xian2|dark, somber; deep, profound|||玄||||7|2023.2|OYVI|人卜女戈|10138.040|0096.130||9|||||
伮|nu3|to make a great effort|||||||7||OVE|人女水|10140.050|0096.140||9|||||
伯|bo2|older brother; father's elder brother; senior male 'sire'; feudal rank 'count'|||||4||7|2620.0|OHA|人竹日|10136.020|0096.160|1003|9|6|1993|father's older brother|2057|father's older brother
估|gu1|merchant; estimate, guess, presume|||||4||7|2426.0|OJR|人十口|10129.150|0096.170|753|9|4|1995|estimate|2060|estimate
伱|ni3|thou, you|||你||||7||OOF|人人火|10136.050|0096.200||9|||||
伲|ni4|we (Shanghai dialect)|||||||7|2721|OSP|人尸心|10140.020|0096.210||9|||||
伳|xie4||||||||7|2421.7|OPT|人心廿|10129.130|0096.220||9|||||
伴|ban4|companion, comrade, partner; accompany|||||4||7|2925.0|OFQ|人火手|10139.010|0096.230|1089|9|5|908|partner|983|partner
伵|xu4||||||||7||OWC|人田金|10134.030|0097.020||9|||||
伶|ling2|lonely, solitary; actor|||||5||7|2823.7|OOII|人人戈戈|10137.020|0097.030|812|9|6|2374|actor|2441|actor
伷|zhou4|descendent|||冑胄|胄|||7||OLW|人中田|10133.040|0097.040||9|||||
伸|shen1|extend, stretch out, open up; trust|||||4||7|2520.6|OLWL|人中田中|10133.020|0097.060|1126|9|5|851|extend|919|extend
伹|qu1|dull, slow, unskillful|||||||7||OBM|人月一|10133.010|0097.070||9|||||
伺|ci4|serve, wait upon, attend; examine|||||5||7|2722.0|OSMR|人尸一口|10139.050|0097.080|1169|9|6|2757|attend to|2818|attend to
伻|beng1|messenger, emissary; send emissary|||||||7|2124.9|OMFJ|人一火十|10131.060|0097.090|1058|9|||||
似|shi4|resemble, similar to; as if, seem|||||2||6|2820.0|OVIO|人女戈人|10127.020|0097.100|1551|9|5|797|similar|862|similar
伽|jia1|transcription of sanskrit 'gha' in buddhist texts ('samgha', etc.); (nursing; attending; entertainer) (Jap.); tample; in Chinese this character is not used alone|||||5||7|2620.0|OKSR|人大尸口|10140.070|0097.120|532|9|||||
伾|pi1|mighty|||||||7|2121.9|OMFM|人一火一|10131.010|0097.130|1035|9|||||
伿|yi4||||||||7|2628.0|ORC|人口金|10133.050|0097.140||9|||||
佀|si4|resemble|||||||7||ORLR|人口中口|10134.010|0097.150|1551A|9|||||
佁|yi3||||||||7|2326.0|OIR|人戈口|10141.040|0097.160|1373|9|||||
佂|zheng1||||||||7||OMYM|人一卜一|10129.110|0097.170|201|9|||||
佃|dian4|tenant farmer; be a tenant farmer|||||||7|2620.0|OW|人田|10133.030|0097.180|1339|9|||||
佄|han1||||||||7||OTM|人廿一|10129.140|0097.190||9|||||
佅|mai4||||||||7||OJD|人十木|10129.070|0097.200||9|||||
但|dan4|only; but, however, yet, still|||||1||7|2621.0|OAM|人日一|10132.040|0097.210|1296|9|2|747|however|805|however
佇|zhu4|wait; look towards; turn one's back on|伫||竚||5||7|2322.1|OJMN|人十一弓|10139.020|0097.220|267|9|||||
佈|bu4|spread, publicize, announce|||||4||7|2422.7|OKLB|人大中月|10131.030|0098.010|1069|9||2014|announce||
佉|qu1|surname; name of a divine being; transliteration of Sanskrit 'kh'|||||||7|2423.1|OGI|人土戈|10129.120|0098.030|519|9|||||
佊|bi3||||||||7||ODHE|人木竹水|10141.010|0098.040|1038|9|||||
佋|zhao1|continue, carry on; hand down; to join|||紹||||7||OSHR|人尸竹口|10140.060|0098.050||9|||||
佌|ci3|small|||||||8|2121.0|OYMP|人卜一心|10147.060|0098.060|156|9|||||
位|wei4|throne; position, post; rank, status; seat|||||2||7|2021.8|OYT|人卜廿|10138.030|0098.070|767 1436|9|3|749|position|807|position
低|di1|low; to lower, hang, bend, bow|||仾||3||7|2224.0|OHPM|人竹心一|10137.040|0098.080|1307|9|4|1332|low|1375|low
住|zhu4|reside, live at, dwell, lodge; stop|||||2||7|2021.4|OYG|人卜土|10137.090|0098.090|263|9|1|748|dwell|806|dwell
佐|zuo3|assist, aid, second; subordinate|||||5||7|2421.1|OKM|人大一|10130.060|0098.100|232|9||2000|assistant|2064|assistant
佑|you4|help, protect, bless|||祐||5||7|2426.0|OKR|人大口|10131.020|0098.110|1518A|9||1999|bless|2063|bless
佒|yang3||||||||7|2523.0|OLBK|人中月大|10133.060|0098.120|1528|9|||||
体|ti3|body; group, class, body, unit; inferior||體|體軆||5||7|2523.0|ODM|人木一|10130.010|0098.130|771 1088|9|2|||813|body
佔|zhan4|occupy by force, usurp; possess||||占|4||7|2126.0|OYR|人卜口|10131.090|0098.140|177|9||739|occupy||
何|he2|what, why, where, which, how|||||1||7|2122.0|OMNR|人一弓口|10130.040|0098.150|487|9|4|774|whatwhichwhowherewhy?|835|whatwhichwhowherewhy?
佖|bi4||||||||7|2329.0|OPH|人心竹|10139.040|0098.160||9|||||
佗|tuo2|other, he; surname; a load|||它||||7|2321.1|OJP|人十心|10139.030|0098.170|1368|9|||||
佘|she2|surname|||||||7|8090.1|OMMF|人一一火|10128.030|0099.010|1154 1180|9|||||
余|yu2|I, my, me; surname; surplus|余|余餘|予||4||7|8090.4|OMD|人一木|10128.040|0099.020|1610|9|5|1232|moi|1285|excess
佚|yi4|indulge in pleasures; flee|||||||7|2523.0|OHQO|人竹手人|10134.050|0099.030|1135|9|||||
佛|fu2|Buddha; of Buddhism; merciful person; Buddhist image; the dead (Jap.)|||||3||7|2522.7|OLLN|人中中弓|10140.030|0099.040|358|9|5|946|Buddha|1023|Buddha
作|zuo4|make; work; compose, write; act, perform|||||2||7|2821.1|OHS|人竹尸|10134.060|0099.070|10 248|9|1|868|do|940|do
佝|gou1|rickets|||||||7|2722.0|OPR|人心口|10137.060|0099.100|673|9|||||
佞|ning4|flattery; glib|||||||7|2124.4|OMMV|人一一女|10129.100|0099.110|1486|9|||||
佟|tong2|a name|||||||7|2723.3|OHEY|人竹水卜|10137.070|0099.120|1402|9|||||
你|ni3|you, second person pronoun|||伱|妳您祢袮|1||7|2729.0 2729.2|ONF|人弓火|10137.050|0100.021|1550|9|1|741|you|799|you
佡|xian1|make effort, endeavor|||||||7|2827.0|OOU|人人山|10137.010|0100.021||9|||||
佢|qu2|(Cant.) he, she, it|||||5||6|2121.7|OSS|人尸尸|10120.050|0100.021|676|9|||||
佣|yong1|commission fee||傭|||||7|2722.0|OBQ|人月手|10137.030|0100.021|1656 1662|9|6|||2776|put to work
佤|wa3|the Va (Wa) nationality, living in Yunnan|||||||6|2121.7|OMVN|人一女弓|10121.030|0100.021|952|9|||||
佥|qian1|all, together, unanimous||僉|||||7|8010|OMFM|人一火一|10128.110|0100.021|182|9|||||
佦|shi5||||||||7||XOMR|難人一口|10131.021|0100.021||9|||||
佧|ka3||||||||7|2123.1|OYMY|人卜一卜|10131.080|0100.021|536|9|||||
佨|bao1||||||||7||OPRU|人心口山|10137.081|0100.021||9|||||
佩|pei4|belt ornament, pendant; wear at waist, tie to the belt; respect|||||4||8|2721.0|OHNB|人竹弓月|10150.070|0100.040|1084|9|5|2013|wear at the waist|2080|wear at the waist
佪|hui2|hesitate|||||||8|2620.0|OWR|人田口|10148.060|0100.060|1464|9|||||
佫|he4||||||5||8|2726.4|OHER|人竹水口|10151.060|0100.080|646|9|||||
佬|lao3|(Cant.) man, person; mature||||姆|5||8|2421.1|OJKP|人十大心|10144.020|0100.090|824|9|||||
佭|xiang2|unsubmissive; obstreperous|||||||8||OHEQ|人竹水手|10151.050|0100.100||9|||||
佮|ge2|(Cant.) intensive particle|||||5||8|2826.1|OOMR|人人一口|10150.040|0100.120||9|||||
佯|yang2|pretend, feign; false, deceitful|||||5||8|2825.1|OTQ|人廿手|10153.020|0100.130|1530|9|||||
佰|bai3|hundred|||百||5||8|2126.0|OMA|人一日|10146.030|0100.140||9|||||
佱|fa3||||||||8||XOMMM|難人一一一|10141.070|0100.150||9|||||
佲|ming3||||||||8||ONIR|人弓戈口|10151.070|0100.170||9|||||
佳|jia1|good, auspicious; beautiful; delightful|||||3||8|2421.4|OGG|人土土|10143.160|0100.180|710|9|6|2005|superb|2070|superb
佴|er4|a second, an assistant|||||||8|2124.0|OSJ|人尸十|10144.030|0100.210|1546|9|||||
併|bing4|combine, annex|并||ʧ||5||8|2824.1|OTT|人廿廿|10153.030|0100.220|1055|9||798|combine||
佶|ji2|strong, robust; exact, correct|||||||8|2426.1|OGR|人土口|10144.010|0100.230|582|9|||||
佷|hen3|to act contrary to|||||||8|2723.2|OAV|人日女|10154.080|0100.240|575|9|||||
佸|huo2|meet|||||||8|2226.4|OHJR|人竹十口|10149.050|0100.250|736|9|||||
佹|gui3|depend upon; support; go against; (variant deceive)|||||||8|2721.2|ONMU|人弓一山|10151.020|0100.270|959|9|||||
佺|quan2|fairy|||||||8|2821.4|OOMG|人人一土|10149.130|0100.290||9|||||
佻|tiao1|frivolous; unsteady; delay|||||||8|2221.3|OLMO|人中一人|10150.050|0100.300|1221|9|||||
佼|jiao3|beautiful, handsome, good-looking|||||5||8|2024.8|OYCK|人卜金大|10152.060|0101.010|553|9|||||
佽|ci4|aid; help|||||||8|7728.2|OIMO|人戈一人|10152.070|0101.020|160|9|||||
佾|yi4|a row or file of dancers|||||||8|2822.7|OCB|人金月|10150.060|0101.030|1502|9|||||
使|shi3|cause, send on a mission, order; envoy, messenger, ambassador|||||2||8|2520.6|OJLK|人十中大|10145.020|0101.050|793 1177|9|4|777|use|838|use
侀|xing2|form|||||||8|2220.0|OMTN|人一廿弓|10143.140|0101.080|1585|9|||||
侁|shen1|crowd|||駪詵||||8|2421.1|OHGU|人竹土山|10149.030|0101.090|1199|9|||||
侂|tuo1|to commission, to entrust to, to depute; to request, to ask|||託||||8|2021.4|OIHP|人戈竹心|10152.040|0101.100|1312|9|||||
侃|kan3|upright and strong; amiable|||||5||8|2621.0|ORHU|人口竹山|10148.030|0101.110|498|9|6||||
侄|zhi2|nephew|||||||8|2121.4|OMIG|人一戈土|10147.040|0101.140|141|9|6|2026|nephew|2091|nephew
侅|gai1|to give; prepared for included in; embraced in|||賅||||8|2028.2|OYVO|人卜女人|10153.010|0101.150|490|9|||||
來|lai2|come, coming; return, returning|来||来|耒|1||8|4090.8|DOO|木人人|10141.080|0101.160|829|9||789|come||
侇|yi2|a class, a category a corpse|||||||8|2523.2|OKN|人大弓|10147.020|0101.180|1542|9|||||
侈|chi3|luxurious, extravagant|||||5||8|2722.7|ONIN|人弓戈弓|10151.080|0101.190|158 1365|9|6||||
侉|kua3|to speak with an accent; big and clumsy|||||||8|2422.7|OKMS|人大一尸|10146.070|0101.220|701|9|||||
侊|guang1|big|||||||8||OFMU|人火一山|10147.090|0101.230|749|9|||||
例|li4|precedent, example; regulation|||||3||8|2220.0|OMNN|人一弓弓|10146.080|0101.240|814|9|4|756|example|816|example
侌|yin1||||||||8||XOINI|難人戈弓戈|10143.100|0101.250|565 1474|9|||||
侍|shi4|serve, attend upon; attendant, servant; samurai|||||5||8|2424.1|OGDI|人土木戈|10143.170|0101.260|149|9||2006|serve|2071|serve
侎|mi3|to soothe, to pacify; to settle, to establish|||敉||||8||XOFD|難人火木|10154.010|0102.020||9|||||
侏|zhu1|small, little, tiny, dwarf|||||5||8|2529.0|OHJD|人竹十木|10148.090|0102.030|260|9|||||
侐|xu4|quiet|||||||8|2721.0|OHBT|人竹月廿|10149.080|0102.040|514|9|||||
侑|you4|help, assist, repay kindness|||||||8|2422.7|OKB|人大月|10146.040|0102.050|1517|9|||||
侒|an1||||||||8|2324.4|OJV|人十女|10154.040|0102.060||9|||||
侓|lu4||||||||8||OLQ|人中手|10154.060|0102.070||9|||||
侔|mou2|equal|||||||8|2325.0|OIHQ|人戈竹手|10154.130|0102.080|885|9|||||
侕|er2||||||||8|2122.7|OMBL|人一月中|10146.050|0102.090||9|||||
侖|lun2|logical reasons, logical order|仑||崙||5||8|8022.7|OMBT|人一月廿|10143.010|0102.100|851|9|||||
侗|dong4|big; ignorant; rude, rustic|||||||8|2722.0|OBMR|人月一口|10148.020|0102.120|1407|9|||||
侘|cha4|disappointed, forlorn|||||||8|2321.4|OJHP|人十竹心|10154.030|0102.130|17|9|||||
侙|chi1||||||||8||OIPM|人戈心一|10143.130|0102.140|1193|9|||||
侚|xun4|fast|||殉狥||||8|2722.0|OPA|人心日|10151.030|0102.150|318|9|||||
供|gong1|supply, provide for; offer in worship|||||3||8|2428.1|OTC|人廿金|10144.040|0102.160|693|9|4|1307|supply|1357|supply
侜|zhou1|lies|||||||8|2724.0|OHBY|人竹月卜|10149.110|0102.170|77|9|||||
依|yi1|rely on, be set in; consent, obey a wish|||||3||8|2023.2|OYHV|人卜竹女|10152.080|0102.180|1531|9|5|755|depend on|815|depend on
侞|ru2||||||||8|2620.0|OVR|人女口|10154.110|0102.210||9|||||
侟|cun2||||||||8||OKLD|人大中木|10146.060|0102.250||9|||||
侠|xia2|chivalrous person; knight-errant||俠|||4||8|2423.8|OKT|人大廿|10147.010|0102.291||9|6|||2096|chivalrous person
価|si4|price, value|||||||8|2126.0|OMLW|人一中田|10146.010|0102.291||9|||||
侢|dai4|load|||||||8||OMGB|人一土月|10145.021|0102.291||9|||||
侣|lü3|companion; associate with||侶|侶||||8|2626|ORR|人口口|10147.120|0102.291||9|6|||866|associate
侤|ta5||||||||8||OJKS|人十大尸|10144.011|0102.291||9|||||
侥|jiao3|be lucky; by chance, by luck||僥|||5||8|2521|OJPU|人十心山|10147.030|0102.291||9|6||||
侦|zhen1|spy, reconnoiter; detective||偵|||4||8|2128|OYBO|人卜月人|10147.070|0102.291||9|6|||2061|detect
侧|ce4|side; incline, slant, lean||側|||4||8|2220|OBON|人月人弓|10148.080|0102.291||9|6|||2065|lateral
侨|qiao2|sojourn, lodge||僑|||4||8|2222|OHKL|人竹大中|10149.060|0102.291||9|6|||2081|live abroad
侩|kuai4|go-between, broker, proxy||儈|||||8|2823|OOMI|人人一戈|10150.030|0102.291||9|||||
侪|chai2|a company, companion; together||儕|||5||8|2022|OYKL|人卜大中|10152.050|0102.291|56|9|||||
侫|ning4|flattery; glib|||||||8|2024.4|OYVV|人卜女女|10153.011|0102.291||9|||||
侬|nong2|I; you; family name||儂|||5||8|2423|OHBV|人竹月女|10154.050|0102.291||9|||||
侭|jin3|complete, utmost|||||||8|2521.7|OSOY|人尸人卜|10154.081|0102.291||9|||||
侮|wu3|insult, ridicule, disgrace|||㑄||5||9|2825.7|OOWY|人人田卜|10163.010|0103.010|927|9|6|2018|insult|2084|insult
侯|hou2|marquis, lord; target in archery|||||4||9|2723.4|ONMK|人弓一大|10167.010|0103.070|446|9||1216|marquis|1273|marquis
侰|jiong3||||||||9||OSKR|人尸大口|10166.100|0103.090||9|||||
